,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,x_Coordinate,y_Coordinate,height,width,region_attributes,Type
29,6.jpg,1424912,{},5,2,"{""name"":""rect"",""x"":653,""y"":132,""width"":159,""height"":140}",653,132,140,159,"{""Type"":""not_two_wheeler""}",not_two_wheeler
30,6.jpg,1424912,{},5,3,"{""name"":""rect"",""x"":774,""y"":28,""width"":94,""height"":80}",774,28,80,94,"{""Type"":""not_two_wheeler""}",not_two_wheeler
31,6.jpg,1424912,{},5,4,"{""name"":""rect"",""x"":662,""y"":31,""width"":81,""height"":71}",662,31,71,81,"{""Type"":""not_two_wheeler""}",not_two_wheeler
32,7.jpg,1293510,{},5,0,"{""name"":""rect"",""x"":639,""y"":362,""width"":345,""height"":348}",639,362,348,345,"{""Type"":""not_two_wheeler""}",not_two_wheeler
33,7.jpg,1293510,{},5,1,"{""name"":""rect"",""x"":806,""y"":87,""width"":167,""height"":118}",806,87,118,167,"{""Type"":""not_two_wheeler""}",not_two_wheeler
34,7.jpg,1293510,{},5,2,"{""name"":""rect"",""x"":661,""y"":82,""width"":113,""height"":112}",661,82,112,113,"{""Type"":""not_two_wheeler""}",not_two_wheeler
35,7.jpg,1293510,{},5,3,"{""name"":""rect"",""x"":752,""y"":14,""width"":104,""height"":59}",752,14,59,104,"{""Type"":""not_two_wheeler""}",not_two_wheeler
36,7.jpg,1293510,{},5,4,"{""name"":""rect"",""x"":675,""y"":0,""width"":71,""height"":49}",675,0,49,71,"{""Type"":""not_two_wheeler""}",not_two_wheeler
37,8.jpg,1325597,{},6,0,"{""name"":""rect"",""x"":964,""y"":286,""width"":312,""height"":285}",964,286,285,312,"{""Type"":""not_two_wheeler""}",not_two_wheeler
38,8.jpg,1325597,{},6,1,"{""name"":""rect"",""x"":668,""y"":257,""width"":239,""height"":202}",668,257,202,239,"{""Type"":""not_two_wheeler""}",not_two_wheeler
39,8.jpg,1325597,{},6,2,"{""name"":""rect"",""x"":792,""y"":69,""width"":131,""height"":100}",792,69,100,131,"{""Type"":""not_two_wheeler""}",not_two_wheeler
40,8.jpg,1325597,{},6,3,"{""name"":""rect"",""x"":679,""y"":31,""width"":81,""height"":74}",679,31,74,81,"{""Type"":""not_two_wheeler""}",not_two_wheeler
41,8.jpg,1325597,{},6,4,"{""name"":""rect"",""x"":606,""y"":4,""width"":51,""height"":55}",606,4,55,51,"{""Type"":""not_two_wheeler""}",not_two_wheeler
42,8.jpg,1325597,{},6,5,"{""name"":""rect"",""x"":42,""y"":1,""width"":103,""height"":28}",42,1,28,103,"{""Type"":""not_two_wheeler""}",not_two_wheeler
43,9.jpg,1273710,{},6,0,"{""name"":""rect"",""x"":944,""y"":262,""width"":315,""height"":280}",944,262,280,315,"{""Type"":""not_two_wheeler""}",not_two_wheeler
44,9.jpg,1273710,{},6,1,"{""name"":""rect"",""x"":674,""y"":110,""width"":145,""height"":123}",674,110,123,145,"{""Type"":""not_two_wheeler""}",not_two_wheeler
45,9.jpg,1273710,{},6,2,"{""name"":""rect"",""x"":585,""y"":48,""width"":74,""height"":68}",585,48,68,74,"{""Type"":""not_two_wheeler""}",not_two_wheeler
46,9.jpg,1273710,{},6,3,"{""name"":""rect"",""x"":675,""y"":26,""width"":95,""height"":76}",675,26,76,95,"{""Type"":""not_two_wheeler""}",not_two_wheeler
47,9.jpg,1273710,{},6,4,"{""name"":""rect"",""x"":768,""y"":0,""width"":67,""height"":51}",768,0,51,67,"{""Type"":""not_two_wheeler""}",not_two_wheeler
48,9.jpg,1273710,{},6,5,"{""name"":""rect"",""x"":620,""y"":3,""width"":62,""height"":51}",620,3,51,62,"{""Type"":""not_two_wheeler""}",not_two_wheeler
49,10.jpg,1354031,{},6,0,"{""name"":""rect"",""x"":653,""y"":307,""width"":290,""height"":280}",653,307,280,290,"{""Type"":""not_two_wheeler""}",not_two_wheeler
50,10.jpg,1354031,{},6,1,"{""name"":""rect"",""x"":553,""y"":126,""width"":101,""height"":104}",553,126,104,101,"{""Type"":""not_two_wheeler""}",not_two_wheeler
51,10.jpg,1354031,{},6,2,"{""name"":""rect"",""x"":668,""y"":100,""width"":145,""height"":117}",668,100,117,145,"{""Type"":""not_two_wheeler""}",not_two_wheeler
52,10.jpg,1354031,{},6,3,"{""name"":""rect"",""x"":782,""y"":41,""width"":105,""height"":91}",782,41,91,105,"{""Type"":""not_two_wheeler""}",not_two_wheeler
53,10.jpg,1354031,{},6,4,"{""name"":""rect"",""x"":593,""y"":67,""width"":86,""height"":58}",593,67,58,86,"{""Type"":""not_two_wheeler""}",not_two_wheeler
54,10.jpg,1354031,{},6,5,"{""name"":""rect"",""x"":745,""y"":0,""width"":59,""height"":46}",745,0,46,59,"{""Type"":""not_two_wheeler""}",not_two_wheeler
55,11.jpg,1495049,{},8,0,"{""name"":""rect"",""x"":497,""y"":245,""width"":173,""height"":153}",497,245,153,173,"{""Type"":""not_two_wheeler""}",not_two_wheeler
56,11.jpg,1495049,{},8,1,"{""name"":""rect"",""x"":668,""y"":211,""width"":199,""height"":166}",668,211,166,199,"{""Type"":""not_two_wheeler""}",not_two_wheeler
57,11.jpg,1495049,{},8,2,"{""name"":""rect"",""x"":811,""y"":125,""width"":150,""height"":94}",811,125,94,150,"{""Type"":""not_two_wheeler""}",not_two_wheeler
58,11.jpg,1495049,{},8,3,"{""name"":""rect"",""x"":566,""y"":125,""width"":112,""height"":91}",566,125,91,112,"{""Type"":""not_two_wheeler""}",not_two_wheeler
59,11.jpg,1495049,{},8,4,"{""name"":""rect"",""x"":755,""y"":44,""width"":77,""height"":50}",755,44,50,77,"{""Type"":""not_two_wheeler""}",not_two_wheeler
60,11.jpg,1495049,{},8,5,"{""name"":""rect"",""x"":49,""y"":14,""width"":94,""height"":60}",49,14,60,94,"{""Type"":""not_two_wheeler""}",not_two_wheeler
61,11.jpg,1495049,{},8,6,"{""name"":""rect"",""x"":221,""y"":1,""width"":59,""height"":48}",221,1,48,59,"{""Type"":""not_two_wheeler""}",not_two_wheeler
62,11.jpg,1495049,{},8,7,"{""name"":""rect"",""x"":1236,""y"":62,""width"":39,""height"":68}",1236,62,68,39,"{""Type"":""not_two_wheeler""}",not_two_wheeler
63,12.jpg,1605444,{},6,0,"{""name"":""rect"",""x"":390,""y"":401,""width"":251,""height"":281}",390,401,281,251,"{""Type"":""not_two_wheeler""}",not_two_wheeler
64,12.jpg,1605444,{},6,1,"{""name"":""rect"",""x"":657,""y"":353,""width"":340,""height"":326}",657,353,326,340,"{""Type"":""not_two_wheeler""}",not_two_wheeler
65,12.jpg,1605444,{},6,2,"{""name"":""rect"",""x"":539,""y"":183,""width"":122,""height"":123}",539,183,123,122,"{""Type"":""not_two_wheeler""}",not_two_wheeler
66,12.jpg,1605444,{},6,3,"{""name"":""rect"",""x"":845,""y"":193,""width"":214,""height"":144}",845,193,144,214,"{""Type"":""not_two_wheeler""}",not_two_wheeler
67,12.jpg,1605444,{},6,4,"{""name"":""rect"",""x"":769,""y"":68,""width"":91,""height"":75}",769,68,75,91,"{""Type"":""not_two_wheeler""}",not_two_wheeler
68,12.jpg,1605444,{},6,5,"{""name"":""rect"",""x"":50,""y"":34,""width"":99,""height"":58}",50,34,58,99,"{""Type"":""not_two_wheeler""}",not_two_wheeler
69,13.jpg,1718488,{},6,0,"{""name"":""rect"",""x"":974,""y"":335,""width"":303,""height"":264}",974,335,264,303,"{""Type"":""not_two_wheeler""}",not_two_wheeler
70,13.jpg,1718488,{},6,1,"{""name"":""rect"",""x"":498,""y"":280,""width"":163,""height"":173}",498,280,173,163,"{""Type"":""not_two_wheeler""}",not_two_wheeler
71,13.jpg,1718488,{},6,2,"{""name"":""rect"",""x"":779,""y"":104,""width"":108,""height"":77}",779,104,77,108,"{""Type"":""not_two_wheeler""}",not_two_wheeler
72,13.jpg,1718488,{},6,3,"{""name"":""rect"",""x"":688,""y"":80,""width"":59,""height"":55}",688,80,55,59,"{""Type"":""not_two_wheeler""}",not_two_wheeler
73,13.jpg,1718488,{},6,4,"{""name"":""rect"",""x"":547,""y"":78,""width"":72,""height"":55}",547,78,55,72,"{""Type"":""not_two_wheeler""}",not_two_wheeler
74,13.jpg,1718488,{},6,5,"{""name"":""rect"",""x"":221,""y"":33,""width"":65,""height"":41}",221,33,41,65,"{""Type"":""not_two_wheeler""}",not_two_wheeler
75,14.jpg,1838754,{},6,0,"{""name"":""rect"",""x"":906,""y"":279,""width"":261,""height"":212}",906,279,212,261,"{""Type"":""not_two_wheeler""}",not_two_wheeler
76,14.jpg,1838754,{},6,1,"{""name"":""rect"",""x"":679,""y"":166,""width"":116,""height"":87}",679,166,87,116,"{""Type"":""not_two_wheeler""}",not_two_wheeler
77,14.jpg,1838754,{},6,2,"{""name"":""rect"",""x"":763,""y"":114,""width"":109,""height"":69}",763,114,69,109,"{""Type"":""not_two_wheeler""}",not_two_wheeler
78,14.jpg,1838754,{},6,3,"{""name"":""rect"",""x"":480,""y"":144,""width"":94,""height"":72}",480,144,72,94,"{""Type"":""not_two_wheeler""}",not_two_wheeler
79,14.jpg,1838754,{},6,4,"{""name"":""rect"",""x"":49,""y"":67,""width"":101,""height"":58}",49,67,58,101,"{""Type"":""not_two_wheeler""}",not_two_wheeler
80,14.jpg,1838754,{},6,5,"{""name"":""rect"",""x"":677,""y"":78,""width"":58,""height"":48}",677,78,48,58,"{""Type"":""not_two_wheeler""}",not_two_wheeler
81,15.jpg,1738453,{},8,0,"{""name"":""rect"",""x"":300,""y"":271,""width"":171,""height"":146}",300,271,146,171,"{""Type"":""not_two_wheeler""}",not_two_wheeler
82,15.jpg,1738453,{},8,1,"{""name"":""rect"",""x"":678,""y"":356,""width"":209,""height"":172}",678,356,172,209,"{""Type"":""not_two_wheeler""}",not_two_wheeler
83,15.jpg,1738453,{},8,2,"{""name"":""rect"",""x"":869,""y"":255,""width"":205,""height"":122}",869,255,122,205,"{""Type"":""not_two_wheeler""}",not_two_wheeler
84,15.jpg,1738453,{},8,3,"{""name"":""rect"",""x"":684,""y"":136,""width"":81,""height"":67}",684,136,67,81,"{""Type"":""not_two_wheeler""}",not_two_wheeler
85,15.jpg,1738453,{},8,4,"{""name"":""rect"",""x"":799,""y"":10,""width"":81,""height"":60}",799,10,60,81,"{""Type"":""not_two_wheeler""}",not_two_wheeler
86,15.jpg,1738453,{},8,5,"{""name"":""rect"",""x"":642,""y"":73,""width"":40,""height"":33}",642,73,33,40,"{""Type"":""not_two_wheeler""}",not_two_wheeler
87,15.jpg,1738453,{},8,6,"{""name"":""rect"",""x"":650,""y"":101,""width"":49,""height"":49}",650,101,49,49,"{""Type"":""not_two_wheeler""}",not_two_wheeler
88,15.jpg,1738453,{},8,7,"{""name"":""rect"",""x"":752,""y"":63,""width"":53,""height"":44}",752,63,44,53,"{""Type"":""not_two_wheeler""}",not_two_wheeler
89,16.jpg,1830720,{},5,0,"{""name"":""rect"",""x"":705,""y"":399,""width"":229,""height"":199}",705,399,199,229,"{""Type"":""not_two_wheeler""}",not_two_wheeler
90,16.jpg,1830720,{},5,1,"{""name"":""rect"",""x"":547,""y"":261,""width"":148,""height"":121}",547,261,121,148,"{""Type"":""not_two_wheeler""}",not_two_wheeler
91,16.jpg,1830720,{},5,2,"{""name"":""rect"",""x"":817,""y"":126,""width"":85,""height"":63}",817,126,63,85,"{""Type"":""not_two_wheeler""}",not_two_wheeler
92,16.jpg,1830720,{},5,3,"{""name"":""rect"",""x"":636,""y"":122,""width"":62,""height"":51}",636,122,51,62,"{""Type"":""not_two_wheeler""}",not_two_wheeler
93,16.jpg,1830720,{},5,4,"{""name"":""rect"",""x"":869,""y"":17,""width"":81,""height"":81}",869,17,81,81,"{""Type"":""not_two_wheeler""}",not_two_wheeler
94,17.jpg,1762025,{},7,0,"{""name"":""rect"",""x"":990,""y"":335,""width"":235,""height"":186}",990,335,186,235,"{""Type"":""not_two_wheeler""}",not_two_wheeler
95,17.jpg,1762025,{},7,1,"{""name"":""rect"",""x"":582,""y"":223,""width"":126,""height"":96}",582,223,96,126,"{""Type"":""not_two_wheeler""}",not_two_wheeler
96,17.jpg,1762025,{},7,2,"{""name"":""rect"",""x"":724,""y"":114,""width"":76,""height"":81}",724,114,81,76,"{""Type"":""not_two_wheeler""}",not_two_wheeler
97,17.jpg,1762025,{},7,3,"{""name"":""rect"",""x"":592,""y"":105,""width"":58,""height"":55}",592,105,55,58,"{""Type"":""not_two_wheeler""}",not_two_wheeler
98,17.jpg,1762025,{},7,4,"{""name"":""rect"",""x"":781,""y"":71,""width"":67,""height"":59}",781,71,59,67,"{""Type"":""not_two_wheeler""}",not_two_wheeler
99,17.jpg,1762025,{},7,5,"{""name"":""rect"",""x"":45,""y"":71,""width"":105,""height"":54}",45,71,54,105,"{""Type"":""not_two_wheeler""}",not_two_wheeler
100,17.jpg,1762025,{},7,6,"{""name"":""rect"",""x"":840,""y"":6,""width"":212,""height"":123}",840,6,123,212,"{""Type"":""not_two_wheeler""}",not_two_wheeler
101,18.jpg,1548359,{},8,0,"{""name"":""rect"",""x"":402,""y"":499,""width"":294,""height"":216}",402,499,216,294,"{""Type"":""not_two_wheeler""}",not_two_wheeler
102,18.jpg,1548359,{},8,1,"{""name"":""rect"",""x"":529,""y"":235,""width"":153,""height"":117}",529,235,117,153,"{""Type"":""not_two_wheeler""}",not_two_wheeler
103,18.jpg,1548359,{},8,2,"{""name"":""rect"",""x"":714,""y"":208,""width"":132,""height"":110}",714,208,110,132,"{""Type"":""not_two_wheeler""}",not_two_wheeler
104,18.jpg,1548359,{},8,3,"{""name"":""rect"",""x"":503,""y"":163,""width"":99,""height"":80}",503,163,80,99,"{""Type"":""not_two_wheeler""}",not_two_wheeler
105,18.jpg,1548359,{},8,4,"{""name"":""rect"",""x"":805,""y"":119,""width"":103,""height"":67}",805,119,67,103,"{""Type"":""not_two_wheeler""}",not_two_wheeler
106,18.jpg,1548359,{},8,5,"{""name"":""rect"",""x"":39,""y"":73,""width"":122,""height"":68}",39,73,68,122,"{""Type"":""not_two_wheeler""}",not_two_wheeler
107,18.jpg,1548359,{},8,6,"{""name"":""rect"",""x"":656,""y"":95,""width"":53,""height"":63}",656,95,63,53,"{""Type"":""not_two_wheeler""}",not_two_wheeler
108,18.jpg,1548359,{},8,7,"{""name"":""rect"",""x"":723,""y"":55,""width"":51,""height"":41}",723,55,41,51,"{""Type"":""not_two_wheeler""}",not_two_wheeler
109,19.jpg,1718014,{},8,0,"{""name"":""rect"",""x"":422,""y"":350,""width"":220,""height"":214}",422,350,214,220,"{""Type"":""not_two_wheeler""}",not_two_wheeler
110,19.jpg,1718014,{},8,1,"{""name"":""rect"",""x"":728,""y"":357,""width"":221,""height"":212}",728,357,212,221,"{""Type"":""not_two_wheeler""}",not_two_wheeler
111,19.jpg,1718014,{},8,2,"{""name"":""rect"",""x"":380,""y"":232,""width"":148,""height"":116}",380,232,116,148,"{""Type"":""not_two_wheeler""}",not_two_wheeler
112,19.jpg,1718014,{},8,3,"{""name"":""rect"",""x"":838,""y"":157,""width"":127,""height"":87}",838,157,87,127,"{""Type"":""not_two_wheeler""}",not_two_wheeler
113,19.jpg,1718014,{},8,4,"{""name"":""rect"",""x"":994,""y"":21,""width"":202,""height"":164}",994,21,164,202,"{""Type"":""not_two_wheeler""}",not_two_wheeler
114,19.jpg,1718014,{},8,5,"{""name"":""rect"",""x"":627,""y"":126,""width"":83,""height"":74}",627,126,74,83,"{""Type"":""not_two_wheeler""}",not_two_wheeler
115,19.jpg,1718014,{},8,6,"{""name"":""rect"",""x"":724,""y"":63,""width"":53,""height"":50}",724,63,50,53,"{""Type"":""not_two_wheeler""}",not_two_wheeler
116,19.jpg,1718014,{},8,7,"{""name"":""rect"",""x"":31,""y"":59,""width"":114,""height"":62}",31,59,62,114,"{""Type"":""not_two_wheeler""}",not_two_wheeler
117,20.jpg,244761,{},3,0,"{""name"":""rect"",""x"":263,""y"":426,""width"":172,""height"":123}",263,426,123,172,"{""Type"":""not_two_wheeler""}",not_two_wheeler
118,20.jpg,244761,{},3,1,"{""name"":""rect"",""x"":503,""y"":329,""width"":87,""height"":63}",503,329,63,87,"{""Type"":""not_two_wheeler""}",not_two_wheeler
119,20.jpg,244761,{},3,2,"{""name"":""rect"",""x"":752,""y"":348,""width"":95,""height"":73}",752,348,73,95,"{""Type"":""not_two_wheeler""}",not_two_wheeler
120,21.jpg,808257,{},5,0,"{""name"":""rect"",""x"":170,""y"":468,""width"":220,""height"":176}",170,468,176,220,"{""Type"":""not_two_wheeler""}",not_two_wheeler
121,21.jpg,808257,{},5,1,"{""name"":""rect"",""x"":501,""y"":357,""width"":78,""height"":64}",501,357,64,78,"{""Type"":""not_two_wheeler""}",not_two_wheeler
122,21.jpg,808257,{},5,2,"{""name"":""rect"",""x"":746,""y"":333,""width"":85,""height"":78}",746,333,78,85,"{""Type"":""not_two_wheeler""}",not_two_wheeler
123,21.jpg,808257,{},5,3,"{""name"":""rect"",""x"":669,""y"":284,""width"":44,""height"":50}",669,284,50,44,"{""Type"":""not_two_wheeler""}",not_two_wheeler
124,21.jpg,808257,{},5,4,"{""name"":""rect"",""x"":546,""y"":277,""width"":51,""height"":50}",546,277,50,51,"{""Type"":""not_two_wheeler""}",not_two_wheeler
125,22.jpg,1535321,{},2,0,"{""name"":""rect"",""x"":288,""y"":517,""width"":196,""height"":167}",288,517,167,196,"{""Type"":""not_two_wheeler""}",not_two_wheeler
126,22.jpg,1535321,{},2,1,"{""name"":""rect"",""x"":523,""y"":289,""width"":53,""height"":48}",523,289,48,53,"{""Type"":""not_two_wheeler""}",not_two_wheeler
127,23.jpg,1499562,{},2,0,"{""name"":""rect"",""x"":519,""y"":297,""width"":56,""height"":58}",519,297,58,56,"{""Type"":""not_two_wheeler""}",not_two_wheeler
128,23.jpg,1499562,{},2,1,"{""name"":""rect"",""x"":713,""y"":294,""width"":65,""height"":50}",713,294,50,65,"{""Type"":""not_two_wheeler""}",not_two_wheeler
129,24.jpg,1560609,{},3,0,"{""name"":""rect"",""x"":467,""y"":299,""width"":87,""height"":69}",467,299,69,87,"{""Type"":""not_two_wheeler""}",not_two_wheeler
130,24.jpg,1560609,{},3,1,"{""name"":""rect"",""x"":704,""y"":281,""width"":64,""height"":60}",704,281,60,64,"{""Type"":""not_two_wheeler""}",not_two_wheeler
131,24.jpg,1560609,{},3,2,"{""name"":""rect"",""x"":585,""y"":286,""width"":63,""height"":49}",585,286,49,63,"{""Type"":""not_two_wheeler""}",not_two_wheeler
132,25.jpg,1625703,{},3,0,"{""name"":""rect"",""x"":965,""y"":606,""width"":311,""height"":110}",965,606,110,311,"{""Type"":""not_two_wheeler""}",not_two_wheeler
133,25.jpg,1625703,{},3,1,"{""name"":""rect"",""x"":465,""y"":325,""width"":86,""height"":62}",465,325,62,86,"{""Type"":""not_two_wheeler""}",not_two_wheeler
134,25.jpg,1625703,{},3,2,"{""name"":""rect"",""x"":815,""y"":244,""width"":71,""height"":108}",815,244,108,71,"{""Type"":""not_two_wheeler""}",not_two_wheeler
135,26.jpg,1694946,{},7,0,"{""name"":""rect"",""x"":804,""y"":383,""width"":128,""height"":99}",804,383,99,128,"{""Type"":""not_two_wheeler""}",not_two_wheeler
136,26.jpg,1694946,{},7,1,"{""name"":""rect"",""x"":736,""y"":452,""width"":92,""height"":92}",736,452,92,92,"{""Type"":""not_two_wheeler""}",not_two_wheeler
137,26.jpg,1694946,{},7,2,"{""name"":""rect"",""x"":705,""y"":392,""width"":71,""height"":67}",705,392,67,71,"{""Type"":""not_two_wheeler""}",not_two_wheeler
138,26.jpg,1694946,{},7,3,"{""name"":""rect"",""x"":334,""y"":404,""width"":139,""height"":90}",334,404,90,139,"{""Type"":""not_two_wheeler""}",not_two_wheeler
139,26.jpg,1694946,{},7,4,"{""name"":""rect"",""x"":515,""y"":244,""width"":31,""height"":62}",515,244,62,31,"{""Type"":""not_two_wheeler""}",not_two_wheeler
140,26.jpg,1694946,{},7,5,"{""name"":""rect"",""x"":542,""y"":322,""width"":67,""height"":63}",542,322,63,67,"{""Type"":""not_two_wheeler""}",not_two_wheeler
141,26.jpg,1694946,{},7,6,"{""name"":""rect"",""x"":484,""y"":330,""width"":54,""height"":45}",484,330,45,54,"{""Type"":""not_two_wheeler""}",not_two_wheeler
142,27.jpg,1866213,{},5,0,"{""name"":""rect"",""x"":148,""y"":480,""width"":248,""height"":167}",148,480,167,248,"{""Type"":""not_two_wheeler""}",not_two_wheeler
143,27.jpg,1866213,{},5,1,"{""name"":""rect"",""x"":781,""y"":553,""width"":298,""height"":163}",781,553,163,298,"{""Type"":""not_two_wheeler""}",not_two_wheeler
144,27.jpg,1866213,{},5,2,"{""name"":""rect"",""x"":505,""y"":361,""width"":98,""height"":72}",505,361,72,98,"{""Type"":""not_two_wheeler""}",not_two_wheeler
145,27.jpg,1866213,{},5,3,"{""name"":""rect"",""x"":710,""y"":393,""width"":103,""height"":63}",710,393,63,103,"{""Type"":""not_two_wheeler""}",not_two_wheeler
146,27.jpg,1866213,{},5,4,"{""name"":""rect"",""x"":444,""y"":340,""width"":59,""height"":60}",444,340,60,59,"{""Type"":""not_two_wheeler""}",not_two_wheeler
147,28.jpg,1835266,{},6,0,"{""name"":""rect"",""x"":778,""y"":582,""width"":208,""height"":139}",778,582,139,208,"{""Type"":""not_two_wheeler""}",not_two_wheeler
148,28.jpg,1835266,{},6,1,"{""name"":""rect"",""x"":709,""y"":394,""width"":171,""height"":121}",709,394,121,171,"{""Type"":""not_two_wheeler""}",not_two_wheeler
149,28.jpg,1835266,{},6,2,"{""name"":""rect"",""x"":420,""y"":451,""width"":154,""height"":125}",420,451,125,154,"{""Type"":""not_two_wheeler""}",not_two_wheeler
150,28.jpg,1835266,{},6,3,"{""name"":""rect"",""x"":454,""y"":339,""width"":71,""height"":49}",454,339,49,71,"{""Type"":""not_two_wheeler""}",not_two_wheeler
151,28.jpg,1835266,{},6,4,"{""name"":""rect"",""x"":379,""y"":386,""width"":105,""height"":67}",379,386,67,105,"{""Type"":""not_two_wheeler""}",not_two_wheeler
152,28.jpg,1835266,{},6,5,"{""name"":""rect"",""x"":743,""y"":326,""width"":86,""height"":55}",743,326,55,86,"{""Type"":""not_two_wheeler""}",not_two_wheeler
153,29.jpg,1670838,{},3,0,"{""name"":""rect"",""x"":467,""y"":3,""width"":159,""height"":130}",467,3,130,159,"{""Type"":""not_two_wheeler""}",not_two_wheeler
